id,mainCriminal
348109,False
427693,False
1783989,False
522983,False
524311,False
759011,False
504603,False
1782755,False
530067,False
216176,False
273159,False
305521,False
521718,False
309540,False
157069,False
533261,False
2134057,False
1125347,False
1362405,False
1462330,False
529250,False
530656,False
141384,False
1365483,False
2046678,False
130670,False
133666,False
758275,False
2048695,False
1755800,False
127749,False
1387297,False
511703,False
625713,False
1786808,False
539861,False
532455,False
1797417,False
542698,False
520992,False
530181,False
1153016,False
1776206,False
576111,False
522450,False
521723,False
507608,False
132846,False
529492,False
1566179,False
510986,False
1783967,False
533350,False
541203,False
331540,False
362626,False
498434,False
1631774,False
1637454,False
356525,False
1776444,False
511690,False
354525,False
343517,False
539469,False
512171,True
1782903,False
1783124,False
511169,False
2433209,False
1783998,False
1987721,False
526233,False
1164075,False
150731,False
264311,False
345882,False
329056,False
1782908,False
519087,False
527831,False
1752589,False
1987651,False
518551,False
535787,False
544802,False
535844,False
503909,False
531351,False
1776535,False
1195131,False
510855,False
558747,False
343583,False
631177,False
112083,False
759392,False
1795600,False
508396,False
522554,False
533314,False
2045509,False
530170,False
511228,False
306159,False
1783110,False
1796259,False
332105,False
135185,False
354366,False
2030257,False
551129,False
2088297,False
1827902,False
2130565,False
536777,False
872650,False
129886,False
146935,False
579429,False
133251,False
543213,False
2016697,False
349793,False
2427397,False
2115529,False
2427076,False
2110368,False
692976,False
695094,False
696416,False
508919,False
1298568,False
2289415,False
131097,False
874366,False
759522,False
118585,False
728312,False
1518115,False
745261,False
752023,False
2290299,False
154499,False
1564702,False
2131416,False
1786805,False
2210140,False
131403,False
767452,False
549950,False
1458736,False
1993982,False
519561,False
544056,False
124839,False
357213,False
765381,False
118170,False
534054,False
1782917,False
555938,False
507569,False
1751458,False
2363085,False
1821715,False
2030582,False
1332811,False
126058,False
1565658,False
352968,False
352244,False
539865,False
1345160,False
526185,False
571821,False
143310,False
277699,False
1777132,False
755164,False
122446,False
1241412,False
623599,False
2334378,False
1613748,False
1778747,False
1782919,False
1570911,False
123920,False
1637760,False
1568282,False
553494,False
937979,False
2267907,False
428959,False
1312860,False
1344504,False
538187,False
1044789,False
545852,False
1469507,False
1413208,False
553615,False
554308,False
1570153,False
754207,False
2208487,False
1198074,False
528228,False
869384,False
1227129,False
542250,False
781698,False
764377,False
352675,False
350102,False
134391,False
743258,False
538007,True
122269,False
1336341,False
538003,False
179246,False
383879,False
2309718,False
499829,False
1782753,False
545401,False
510815,False
541108,False
537842,False
507546,False
510789,False
510804,False
1785315,False
759404,False
2117519,False
1785041,False
743656,False
504635,False
510807,False
537837,False
518298,False
520841,False
689248,False
2028991,False
1782628,False
529462,False
2081799,False
2107219,False
1150477,False
931199,False
938913,False
1200186,False
1228068,False
429036,False
917350,False
2107114,False
866571,False
2116219,False
1225392,False
2136728,False
2105780,False
277478,False
1617246,False
944517,False
537028,False
534439,False
869251,False
869579,False
871658,False
350071,False
763307,False
2427364,False
2115547,True
2115490,True
2110496,False
1660381,False
510857,False
353304,False
537195,False
1785291,False
537188,False
530128,False
544992,False
690444,False
541138,False
526771,False
532448,False
131860,False
136779,False
499855,False
511657,False
132350,False
520977,False
537229,False
2009453,False
357984,False
1989761,False
538563,False
120724,False
271521,False
1776453,False
1611183,False
2428635,False
2112149,False
2116944,False
2118183,False
2116949,False
2115322,False
2112193,False
695854,False
527681,False
681719,False
512017,False
1988505,False
2028252,False
769931,False
698562,False
263567,False
265306,False
523944,False
541717,False
2111339,False
2428761,False
713405,False
697013,False
1391142,False
527200,False
536903,False
2049743,False
764781,False
1782731,False
1072646,False
1137322,False
948028,False
546116,False
544797,False
743755,False
541211,False
2131810,False
2432534,False
512655,False
538644,False
1557658,False
509572,False
1784764,False
530872,False
518379,False
538690,False
537510,False
360702,False
127205,False
1521204,False
1784084,False
2109401,False
532279,False
567433,False
505219,False
531273,False
118119,False
920760,False
687957,False
355074,False
1639230,False
352421,False
367623,False
527251,False
2421653,False
355206,False
349193,False
364413,False
158190,False
125824,False
1776471,False
1325688,False
150650,False
534932,False
527791,False
1166646,False
1296935,False
2264421,False
690184,False
2334563,False
2334557,False
1336521,False
1346617,False
1784006,False
507916,False
138728,False
689996,False
2030084,False
864123,False
435967,False
438221,False
416246,False
424453,False
432101,False
1513718,False
427099,False
520999,False
530178,False
1053111,False
1394411,False
1377713,False
1464309,False
1403389,False
1403787,False
425850,False
438414,False
1517603,False
1403388,False
1408115,False
1067729,False
2292034,False
1756635,False
2083701,False
2083890,False
